CPF-Source-ID	Related-ID	CPF-Type	NameEntry	Date	"Date Type"	Subject	Place	Occupation	Activity	BiogHist	Citation	Citation-URL	Citation-FoundData
9252-Archives_Orn86.c01		person	"Manuel, Canuto Guevarra, 1902-"	1902	Birth	"Birds -- Catalogs and collections"			"American Museum of Natural History. Department of Ornithology. Archives."		"Department of Ornithology Philippine specimen collection materials, circa 1950s-1980s (Department of Ornithology Archives)"		"Manuel, Canuto Guevarra, 1902-"
9252-Archives_Orn86.c02	no2007120169	person	"Steere, Joseph Beal, 1842-1940"	1842	Birth	"Birds -- Catalogs and collections"			"American Museum of Natural History. Department of Ornithology. Archives."		"Department of Ornithology Philippine specimen collection materials, circa 1950s-1980s (Department of Ornithology Archives)"		"Steere, Joseph Beal, 1842-1940"
				1940	Death								
9252-Archives_Orn86.c03		corporateBody	"American Museum of Natural History. Department of Ornithology"			"Birds -- Catalogs and collections"			"American Museum of Natural History. Department of Ornithology. Archives."		"Department of Ornithology Philippine specimen collection materials, circa 1950s-1980s (Department of Ornithology Archives)"		"American Museum of Natural History. Department of Ornithology"
9294-Archives_Orn109.r001	no2014103896	person	"Sanford, L. C. (Leonard Cutler), 1868-1950"	1868	Birth						"Tanganyika Expedition collection, 1928-1929, 1980 (Department of Ornithology Archives)"		"Sanford, L. C. (Leonard Cutler), 1868-1950"
				1950	Death								
9294-Archives_Orn109.c01		corporateBody	"Rockefeller-Murphy Expedition, 1928-1929"						"American Museum of Natural History. Department of Ornithology. Archives."		"Tanganyika Expedition collection, 1928-1929, 1980 (Department of Ornithology Archives)"		"Rockefeller-Murphy Expedition (1928-1929)"
9294-Archives_Orn109.c02		corporateBody	"American Museum of Natural History. Department of Ornithology"						"American Museum of Natural History. Department of Ornithology. Archives."		"Tanganyika Expedition collection, 1928-1929, 1980 (Department of Ornithology Archives)"		"American Museum of Natural History. Department of Ornithology"
9356-Archives_Orn187.c01	n82011823	person	"Dickerman, Robert William, 1926-"	1926	Birth				"American Museum of Natural History. Department of Ornithology. Archives."		"Robert W. Dickerman collection, 1947-2001 (Department of Ornithology Archives)"		"Dickerman, Robert William, 1926-"
9176-Archives_Orn27.c01	n79148841	person	"Short, Lester L."						"American Museum of Natural History. Department of Ornithology. Archives."		"L. L. Short papers, 1970s-1990s (Department of Ornithology Archives)"		"Short, Lester L."
9261-Archives_Orn80.c01	n87853636	person	"Phelps, Kathleen D. de, 1908-2001"	1908	Birth	Birds			"American Museum of Natural History. Department of Ornithology. Archives."		"Kathleen Deery de Phelps books, circa 1950s (Department of Ornithology Archives)"		"Phelps, Kathleen D. de, 1908-2001"
				2001	Death								
9351-Archives_Orn183.c01	no2009005182	person	"Escalante Pliego, Patricia"						"American Museum of Natural History. Department of Ornithology. Archives."		"Patricia Escalante field catalogs, 1987-1989 (Department of Ornithology Archives)"		"Escalante Pliego, Patricia"
9177-Archives_Orn28.c01		corporateBody	"American Museum of Natural History. Department of Ornithology"						"American Museum of Natural History. Department of Ornithology. Archives."		"Department of Ornithology files, 1883, 1940s-1980s (Department of Ornithology Archives)"		"American Museum of Natural History. Department of Ornithology"
