RD-Source-ID	RD-Type	Title	Date	Language	Extent	Repository	RD-URL	Abstract
9252-Archives_Orn86.xml	ArchivalResource	Department of Ornithology Philippine specimen collection materials 	circa 1950s-1980s	English	0.42 Linear Feet; 1 manuscript box	Department of Ornithology Archives		Contains correpondence, documents, Palawan lists of bird skins, lists of syntypes from Steere Expedition, list of Philippine holotypes in AMNH collection, lists of species found in Luzon collection, documents relating to Leyte collection, and documents relating to Mindoro collection.
9294-Archives_Orn109.xml	ArchivalResource	Tanganyika Expedition collection 	1928-1929, 1980	English	0.05 Linear Feet; 3 folders	Department of Ornithology Archives		Field catalog, letter to L.C. Sanford, 1980 article from Audubon magazine regarding expedition
9356-Archives_Orn187.xml	ArchivalResource	Robert W. Dickerman collection 	1947-2001	English	1.5 Linear Feet; 2 manuscript boxes and 7 volumes	Department of Ornithology Archives		Bound sets of field notes and specimen catalogs, some correspondence and printed maps; catalogs and bird lists relating to viral studies. Locations primarily in Mexico, as well as Venezuela, Alaska, New Mexico, Texas, Arizona, Colorado, Minnesota, West Virginia, Kansas, and New York. Some listings of mammals collected or observed.
9176-Archives_Orn27.xml	ArchivalResource	L. L. Short papers 	1970s-1990s	English	2 Linear Feet	Department of Ornithology Archives		Contains Lester L. Short department files, Kenya trip reports, and Africa Barbet project permits, salary information, project research information, correspondence, Lester L. Short biography/bibliography and a &quot;GrapeVine&quot; [publication], exhibits, Audubon work.
9261-Archives_Orn80.xml	ArchivalResource	Kathleen Deery de Phelps books 	circa 1950s	English	0.35 Linear Feet; 5 loose volumes	Department of Ornithology Archives		Four published books on birds authored by Kathleen Deery de Phelps. Three of the book are in Spanish, and one is in English.
9351-Archives_Orn183.xml	ArchivalResource	Patricia Escalante field catalogs 	1987-1989	English	0.03 Linear Feet; 1 folder	Department of Ornithology Archives		Photocopied field catalogs from Mexico, Venezuela and Florida.
9177-Archives_Orn28.xml	ArchivalResource	Department of Ornithology files 	1883, 1940s-1980s	English	2 Linear Feet	Department of Ornithology Archives		Files include policies, guidelines, procedures, memos, special funds, finances from Great Gull Island, sixth floor renovation, permits, Sanford Fund, department grants, personnel information. Includes two photographs of founders of American Ornithologists Union.
9354-Archives_Orn185.xml	ArchivalResource	Fahnestock South Sea Expedition correspondence 	1939-1941, 1996	English	0.04 Linear Feet; 1 folder	Department of Ornithology Archives		Correspondence regarding expedition, expense accounts, shipping receipts, news clippings
9350-Archives_Orn182.xml	ArchivalResource	Scott V. Edwards collection 	1981	English	0.08 Linear Feet; 2 folders	Department of Ornithology Archives		Compilation of historic ornithological notes of Riverdale, N.Y., [unbound printed manuscript]
9250-Archives_Orn66.xml	ArchivalResource	John T. Zimmer papers 	1950s	English	1.26 Linear Feet	Department of Ornithology Archives		Hand written manuscripts and typescripts relating to bird family classification. Notes on types, collections, collectors and correspondence regarding nomenclature.
