RD-Source-ID	RD-Type	Title	Date	Language	Extent	Repository	RD-URL	Abstract
mu020009.xml	ArchivalResource	Seeger Family collection, 1880s-2010(bulk 1920-2010) 	1880s-2010; (bulk 1920-2010)	Collection material primarily in English, with French, Portuguese, Spanish, and Russian	approximately 16,000 items; 132 containers; 58 linear feet	Music Division, Library of Congress, Washington, D.C.	https://hdl.loc.gov/loc.music/eadmus.mu020009	The Seeger Family Collection documents the lives and careers of pioneering musicologist Charles Louis Seeger, his second wife, modernist composer Ruth Crawford Seeger, and their eldest daughter, folksinger and songwriter Peggy Seeger through their music manuscripts, personal and professional papers, and correspondence. The collection also includes papers relating to the Crawford family and materials associated with Pete Seeger, Mike Seeger, other Seeger family members, and Seeger/MacColl family members.
ms018034.xml	ArchivalResource	Madeleine Korbel Albright Papers 1925-2015(bulk 1961-2001) 	1925-2015; (bulk 1961-2001)	Collection material in English, with Czech and Polish	81,000 items; 232 containers plus 2 classified and 3 oversize; 94.5 linear feet; 124 digital files (8.296 GB)	Manuscript Division, Library of Congress	https://hdl.loc.gov/loc.mss/eadmss.ms018034	U.S. secretary of state, diplomat, and educator. Correspondence, memoranda, reports, schedules, notes, speeches, writings, teaching files, personal memorabilia, and other papers relating to her life and career as a foreign policy expert and diplomat, particularly her time as National Security Council staff member, foreign policy advisor to presidential and vice-presidential candidates, the United States Ambassador to the United Nations, and Secretary of State.
mi020001.xml	ArchivalResource	National Broadcasting Company press releases. Part II 1951-1989 	1951-1989	Collection material in English	465 items; 465 volumes	Moving Image Research Center, Motion Picture, Broadcasting and Recorded Sound Division, Library of Congress	https://hdl.loc.gov/loc.mbrsmi/eadmbrsmi.mi020001	The Library holds press releases issued by NBC from 1924 to 1939 and from 1942 to 1989. The press releases covered under this finding aid cover the years from 1951-1989 when television broadcasting dominated over the radio network.
pp019002.xml	ArchivalResource	Slides from the Eames Collection (Library of Congress) ca.1885-1988 (bulk 1940-1978) 	ca.1885-1988; (bulk 1940-1978)	Collection material in English	300,000 items	Prints & Photographs Division, Library of Congress	https://hdl.loc.gov/loc.pnp/eadpnp.pp019002	Slides from the Eames Collection document the work and interests of Charles and Ray Eames and projects undertaken by the Office of Charles and Ray Eames. The slides document graphic design projects, architecture, furniture, exhibitions, publications, films, family, friends, travels, office staff and professional colleagues, as well as the natural world.
af020002.xml	ArchivalResource	National Council for the Traditional Arts (NCTA) collection circa 1961-2008 		In multiple languages, primarily in English.	18,794 items ; 6,025 containers.; 36 containers : 12,600 manuscript materials.; 985 sound tape reels : analog.; 3291 Digital Audio Tapes (DAT) : digital.; 704 sound cassettes : analog.; 205 sound files : digital, WAV files (96 kHz, 24 bit and 44.1 kHz, 16 bit); 6 videocassettes : analog.; 1003 sound discs (CD-R) : digital ; 4 3/4 in.	Archive of Folk Culture, American Folklife Center, Library of Congress	https://hdl.loc.gov/loc.afc/eadafc.af020002	Collection of concert and workshop recordings of events at the National Folk Festivals, Lowell Folk Festivals, and other festivals, tours, and concerts sponsored by the National Council for the Traditional Arts (NCTA), formerly the National Folk Festival Association founded in 1934. Features performances of ballads, blues, bluegrass, contra dance music, country music, cowboy songs, fiddle tunes, folk music, gospel music, hymns, old-time music, singer songwriters, steel band music, storytelling, Western swing, and more; with numerous performers playing music from African, African American, American Indian, Cajun, Canadian, Caribbean, Eastern European, Hawaiian, Irish, Latin American, Mexican, Scottish, Sea Islands, Sicilian, Ukrainian, and many other traditions from throughout the United States and from around the world. Manuscripts include documentation from the containers of the original sound recordings.
gm018009.xml	ArchivalResource	Frank Farrell map collection. 1930-1965 	1930-1965	Collection material in English	21 maps : some colored ; various sizes; 1 folder	Geography & Map Division, Library of Congress	https://hdl.loc.gov/loc.gmd/eadgmd.gm018009	Frank Farrell served in the Marine Corps as an interrogator and prosecutor for the International Military Tribunal for the Far East, Shanghai, China. His collection includes once classified intelligence maps from World War II depicting the military situation in China, maps of Guangxi Province and some of its cities, various locations in China, and various tourist and travel maps. Some maps have annotations on the reverse in English and French. Some maps are in Chinese.
mu019008.xml	ArchivalResource	Les Paul Papers 1904-2000(bulk 1934-1996) 	1904-2000; (bulk 1934-1996)	Collection material in English and German	5,900 items; 42 containers; 21 linear feet	Music Division, Library of Congress	https://hdl.loc.gov/loc.music/eadmus.mu019008	Les Paul was a Grammy-winning musician and inventor known for his virtuosic guitar playing, pioneering of multitrack recording, and invention of the solid-body electric guitar. His inventions left an indelible impact on the music industry. In addition to live concerts he performed on the radio and on television, notably with his second wife, singer and guitarist Mary Ford. The Les Paul Papers contain music arranged for Les Paul's ensembles by himself or others and printed sheet music of popular songs. The collection also contains publicity materials, business papers, schematics, scripts, brochures, photographs, and correspondence.
gm020007.xml	ArchivalResource	Francis R. Valeo Map Collection comprises twenty-six road maps for the period 1954-1980 (bulk 1973-1974), and no date, donated by Francis R. Valeo. The maps cover mainly East Asia, specifically Japan, Hong Kong, and Macau. 1954-1980(bulk 1973-1974) 	1954-1980; (bulk 1973-1974)	Collection material in English, Portuguese, and Italian	Twenty-six maps: some color; various sizes	Geography & Map Division, Library of Congress	https://hdl.loc.gov/loc.gmd/eadgmd.gm020007	The Francis R. Valeo Map Collection comprises twenty-six maps for the period 1954-1980, and no date, and cover mainly East Asia, specifically Japan, Hong Kong, and Macau
rs019001.xml	ArchivalResource	Frank Seeley collection 1973 	1973	Collection materials are in English	.15 linear feet (10 items); 6 sound cassettes	Recorded Sound Reference Center, Motion Picture, Broadcasting and Recorded Sound Division, Library of Congress	https://hdl.loc.gov/loc.mbrsrs/eadmbrs.rs019001	The Frank Seeley collection consists of interviews, transcripts, and other documents that were created in conjunction with Frank Seeley's Master of Arts in Telecommunications thesis for California State University, San Diego.
ms018013.xml	ArchivalResource	Pamela Digby Churchill Hayward Harriman Papers 1909-1997(bulk 1943-1997) 	1909-1997; (bulk 1943-1997)	Collection material in English	230,000 items; 638 containers plus 1 classified, 47 oversize, and 1 artifact; 280 linear feet; 1,142 digital files (8.581 MB)	Manuscript Division, Library of Congress	https://hdl.loc.gov/loc.mss/eadmss.ms018013	Political activist and diplomat. Family papers, correspondence, memoranda, reports, agenda, minutes, programs, briefing binders, political polls, lists, research files, Federal Election Commission filings, financial and legal records, speeches and writings, interview and event transcripts, diary excerpts, biographical material, awards, publicity material, engagement calendars, scheduling and event files, travel files, digital files, address books, guest books, passports, marriage certificates, photographs, news clippings, and other printed matter documenting most phases of Harriman’s adult life including her marriages to Randolph S. Churchill, 1939-1946; Leland Hayward, 1960-1971; and W. Averell Harriman, 1971-1986; as well as her roles as founder and chair of the Democrats for the 80's from 1980 to 1990 and as United States ambassador to France from 1993 to 1997.
pp020001.xml	ArchivalResource	Balthazar Korab Collection1944-2011(bulk 1970-2000) 	1944-2011; (bulk 1970-2000)	Collection material in English	542,604 items	Prints & Photographs Division, Library of Congress	https://hdl.loc.gov/loc.pnp/eadpnp.pp020001	Balthazar Korab is one of the three most significant American architectural photographers of the second half of the 20th century. His collection documents America's architectural ascendancy in the post-WWII period, including the works of famous architects such as Frank Lloyd Wright, Eero Saarinen, I. M. Pei, and more. Korab's interests also include the Prairie and Chicago Schools of architecture, Italian architecture, American automobile culture, the Midwest, historic houses, sculptures, and natural environments.
af019006.xml	ArchivalResource	John Dildine and Ginny Dildine papers 1957-20141957-1995 	1957-2014; 1957-1995	Collection material in English.	1602 items ; 12 containers ; 88 linear inches.; 3 sound cassettes : analog.; 1225 items.; 246 slides : color ; 35 mm.; 27 photographic prints : black and white ; various sizes.; 2 photographic prints : color ; 3 1/2 x 5 in.; 4 posters.; 36 drawings.; 59 artifacts.	Archive of Folk Culture, American Folklife Center, Library of Congress	https://hdl.loc.gov/loc.afc/eadafc.af019006	The John Dildine and Ginny Dildine papers document their involvement in folk music, crafts, and other folk revival activities from the 1950s-1995. The Dildines played pivotal roles in the Folklore Society of Greater Washington, Fox Hollow Festival, and National Folk Festival Association. Their work with puppetry was important in the revival of that art form and the collection includes Ginny Dildine's sketches and patterns for puppets, photographs of puppet performances at festivals, and the Dildine Family manuscript songbook, with notations about puppet performances. Correspondents include Bob Beers, Evelyne Beers, Gordon Bok, George and Gerry Armstrong, Pete Seeger, Toshi Seeger, Mike Seeger, Michael Cooney, and others. The collection also includes fan mail for John Dildine's folk music radio programs. Photographs include color slides of the Fox Hollow Folk Festival (1966, 1970); Mariposa Folk Festival (1970, 1972); the Newport Folk Festival (1967) including photographs of Pete Seeger, Mike Seeger, Hedy West, Joan Baez, Buffy Sainte-Marie, and others; the Dildine puppets (1970s); the Folklore Society of Greater Washington picnic (1965), and the Smithsonian Folklife Festival (1967). The collection includes the transcript of an interview with John Dildine conducted by Julie McCullogh in 1993; and correspondence and outlines related to the Kennedy Center Honors video interview with Pete Seeger, conducted by John Dildine in Beacon, New York, June 7, 1995.
