CPF-Source-ID	Related-ID	CPF-Type	NameEntry	Date	Subject	Place	Occupation	Activity	BiogHist	Citation	Citation-URL	Citation-FoundData
24325.r001	n85386938	person	Jones, Bill T.							Bill T. Jones/Arnie Zane Dance Company records, 1970-2016 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24325.xml	Jones, Bill T.
24325.r002	n88063931	person	Zane, Arnie, 1948-1988	1948^Birth#1988^Death						Bill T. Jones/Arnie Zane Dance Company records, 1970-2016 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24325.xml	Zane, Arnie, 1948-1988
24325.c01		corporateBody	Bill T. Jones/Arnie Zane and Company		African American dancers#AIDS (Disease) -- Social aspects#AIDS (Disease) in art#Choreography#Dance -- 20th century#Dance -- Photographs#Dance -- United States -- History#Dance companies -- United States#Stage lighting		Choreographers -- United States#Dancers		<biogHist><p>The Bill T. Jones/Arnie Zane Company was established in 1982 by dancers Bill T. Jones and Arnie Zane (1948–1988). Prior to founding the Company, they had collaborated for eleven years, refining the duet form and adressing issues of identity, form and social commentary. The Company they created has performed worldwide in over 200 cities in 40 countries on every major continent, and is recognized as one of the most innovative and powerful forces in the dance-theater world.</p><p>The repertory of the Bill T. Jones/Arnie Zane Company is widely varied in its subject matter; visual imagery; and stylistic approach to movement, voice, and stagecraft. The Company is noted for its collaborative method of creation with such artists as Keith Haring, Cassandra Wilson, The Orion String Quartet, the Chamber Society of Lincoln Center, Fred Hersch, Jenny Holzer, Robert Longo, Julius Hemphill, and Daniel Bernard Roumain. The collaborations between the Bill T. Jones/Arnie Zane Dance Company and visual artists were the subject of "Art Performs Life" (1998), an exhibition at the Walker Art Center in Minneapolis, MN. Prominent dancers who performed with the Company include Arthur Aviles, Janet Lilly, and Lawrence Goldhuber.</p><p>The Company's notable evening-length works include Last Supper at Uncle Tom's Cabin/The Promised Land (1990, Next Wave Festival at the Brooklyn Academy of Music); Still/Here (1994, Biennale de la Danse in Lyon, France); We Set Out Early… Visibility Was Poor (1996, Hancher Auditorium, Iowa City, IA); You Walk? (2000, European Capital of Culture 2000, Bolgna, Italy); Blind Date (2006, Peak Performances at Montclair State University); Chapel/Chapter (2006, Harlem Stage Gatehouse); and Fondly Do We Hope… Fervently Do We Pray (2009, Ravinia Festival, Highland Park, IL). The ongoing, site-specific piece, Another Evening was last performed in its seventh incarnation as Another Evening: Venice/Arsenale (2010, La Biennale di Venezia).</p><title>Last Supper at Uncle Tom's Cabin/The Promised Land</title><title>Still/Here</title><title>We Set Out Early… Visibility Was Poor</title><title>You Walk?</title><title>Blind Date</title><title>Chapel/Chapter</title><title>Fondly Do We Hope… Fervently Do We Pray</title><title>Another Evening</title><title>Another Evening: Venice/Arsenale</title><p>The Company has also produced two evenings of Bill T. Jones's solo performances: The Breathing Show (1999, Hancher Auditorium, Iowa City, IA) and As I Was Saying… (2005, Walker Art Center, Minneapolis, MN). An in-depth examinations of Bill T. Jones and Arnie Zane's collaborations can be found in Body Against Body: The Dance and Other Collaborations of Bill T. Jones and Arnie Zane, (1989, Station Hill Press) edited by Elizabeth Zimmer.</p><title>The Breathing Show</title><title>As I Was Saying…</title><title>Body Against Body: The Dance and Other Collaborations of Bill T. Jones and Arnie Zane</title><p>The Company has received numerous awards, including New York Dance and Performance Awards ("Bessie") for Chapel/Chapter at Harlem Stage (2006), The Table Project (2001), D-Man in the Waters (1989 and 2001), musical scoring and costume design for Last Supper at Uncle Tom's Cabin/The Promised Land, (1990) and for the groundbreaking Joyce Theater season (1986). The Company was nominated for the 1999 Laurence Olivier Award for "Outstanding Achievement in Dance and Best New Dance Production" for We Set Out Early… Visibility was Poor.</p><title>Chapel/Chapter</title><title>The Table Project</title><title>D-Man in the Waters</title><title>Last Supper at Uncle Tom's Cabin/The Promised Land</title><title>We Set Out Early… Visibility was Poor</title><p>During the Company's 25th anniversary season in 2007, Ravinia Festival in Highland Park, IL commisioned the Company to create a work to honor the bicentennial of Abraham Lincoln's birth. The three new productions created in response were 100 Migrations (2008), a site-specific community performance project; Serenade/The Proposition (2008), examining the nature of history; and Fondly Do We Hope… Fervently Do We Pray (2009), the making of which is the subject of a feature-length documentary by Kartemquin Films entitled A Good Man, which was broadcast on PBS American Masters in 2011.</p><title>100 Migrations</title><title>Serenade/The Proposition</title><title>Fondly Do We Hope… Fervently Do We Pray</title><title>A Good Man</title><p>The Company has distinguished itself through extensive community outreach and educational programs, including partnerships with Bard College, where company members teach an innovative curriculum rooted in the Company's creative model and highly collaborative methods; and with Lincoln Center Institute, which uses Company works in its educator-training and in-school repertory programs. University and college dance programs throughout the U.S. work with the Company to reconstruct significant works for their students. The Company also conducts intensive workshops for professional and pre-professional dancers and produces a broad range of discussion events at home and on the road.</p></biogHist>	Bill T. Jones/Arnie Zane Dance Company records, 1970-2016 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24325.xml	Bill T. Jones/Arnie Zane and Company
24669.r001	n97858507	person	Jillana							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Jillana
24669.r002	n88034728	person	Adams, Diana, 1926-1993	1926^Birth#1993^Death						Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Adams, Diana, 1926-1993
24669.r003	n50017594	person	Balanchine, George							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Balanchine, George
24669.r004		person	Bascome, Radford							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Bascome, Radford
24669.r005	nr2001047055	person	Bolender, Todd							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Bolender, Todd
24669.r006	n83047112	person	Cunningham, Merce							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Cunningham, Merce
24669.r007	n81042604	person	Dorati, Antal							Radford Bascome collection, circa 1950-1959 (The New York Public Library. Jerome Robbins Dance Division.)	http://archives.nypl.org/dan/24669.xml	Dorati, Antal
