CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
24325.r001	corporateBody	associatedWith	24325.c01	ArchivalResource	referencedIn	24325.xml
24325.r002	corporateBody	associatedWith	24325.c01	ArchivalResource	referencedIn	24325.xml
24325.c01	person	associatedWith	24325.r001	ArchivalResource	creatorOf	24325.xml
	person	associatedWith	24325.r002
24669.r001				ArchivalResource	referencedIn	24669.xml
24669.r002				ArchivalResource	referencedIn	24669.xml
24669.r003				ArchivalResource	referencedIn	24669.xml
24669.r004				ArchivalResource	referencedIn	24669.xml
24669.r005				ArchivalResource	referencedIn	24669.xml
24669.r006				ArchivalResource	referencedIn	24669.xml
24669.r007				ArchivalResource	referencedIn	24669.xml
24669.r008				ArchivalResource	referencedIn	24669.xml
24669.r009				ArchivalResource	referencedIn	24669.xml
24669.r010				ArchivalResource	referencedIn	24669.xml
24669.r011				ArchivalResource	referencedIn	24669.xml
24669.r012				ArchivalResource	referencedIn	24669.xml
24669.r013				ArchivalResource	referencedIn	24669.xml
24669.r014				ArchivalResource	referencedIn	24669.xml
24669.r015				ArchivalResource	referencedIn	24669.xml
24669.r016				ArchivalResource	referencedIn	24669.xml
24669.r017				ArchivalResource	referencedIn	24669.xml
24669.r018				ArchivalResource	referencedIn	24669.xml
24669.r019				ArchivalResource	referencedIn	24669.xml
24669.r020				ArchivalResource	referencedIn	24669.xml
24669.r021				ArchivalResource	referencedIn	24669.xml
24669.r022				ArchivalResource	referencedIn	24669.xml
24669.r023				ArchivalResource	referencedIn	24669.xml
24898.c01				ArchivalResource	creatorOf	24898.xml
24078.c01	person	associatedWith	24078.r001	ArchivalResource	creatorOf	24078.xml
	person	associatedWith	24078.r002
	corporateBody	associatedWith	24078.r003
	corporateBody	associatedWith	24078.r004
24078.r001	person	associatedWith	24078.c01	ArchivalResource	referencedIn	24078.xml
24078.r002	person	associatedWith	24078.c01	ArchivalResource	referencedIn	24078.xml
24078.r003	person	associatedWith	24078.c01	ArchivalResource	referencedIn	24078.xml
24078.r004	person	associatedWith	24078.c01	ArchivalResource	referencedIn	24078.xml
23930.c01	person	correspondedWith	23930.r001	ArchivalResource	creatorOf	23930.xml
23930.r001	person	correspondedWith	23930.c01	ArchivalResource	referencedIn	23930.xml
24508.c01	person	associatedWith	24508.r001	ArchivalResource	creatorOf	24508.xml
	corporateBody	associatedWith	24508.r002
24508.r001	person	associatedWith	24508.c01	ArchivalResource	referencedIn	24508.xml
24508.r002	person	associatedWith	24508.c01	ArchivalResource	referencedIn	24508.xml
24680.c01	person	associatedWith	24680.r001	ArchivalResource	creatorOf	24680.xml
24680.r001	person	associatedWith	24680.c01	ArchivalResource	referencedIn	24680.xml
25777.c01	person	associatedWith	25777.r001	ArchivalResource	creatorOf	25777.xml
	person	correspondedWith	25777.r002
	person	associatedWith	25777.r003
	person	correspondedWith	25777.r004
	person	correspondedWith	25777.r005
	person	associatedWith	25777.r006
	person	associatedWith	25777.r007
	person	associatedWith	25777.r008
	person	associatedWith	25777.r009
	person	associatedWith	25777.r010
	person	associatedWith	25777.r011
	person	associatedWith	25777.r012
	person	associatedWith	25777.r013
	person	associatedWith	25777.r014
	person	associatedWith	25777.r015
	person	associatedWith	25777.r016
	person	associatedWith	25777.r017
	person	associatedWith	25777.r018
	person	associatedWith	25777.r019
	person	associatedWith	25777.r020
	person	associatedWith	25777.r021
	person	associatedWith	25777.r022
	person	associatedWith	25777.r023
	person	associatedWith	25777.r024
	corporateBody	associatedWith	25777.r025
	corporateBody	associatedWith	25777.r026
	corporateBody	associatedWith	25777.r027
25777.r001	person	associatedWith	25777.c01	ArchivalResource	referencedIn	25777.xml
25777.r002	person	correspondedWith	25777.c01	ArchivalResource	referencedIn	25777.xml
