RD-Source-ID	RD-Type	Title	Date	Language	Extent	Repository	RD-URL	Abstract
24325.xml	ArchivalResource	Bill T. Jones/Arnie Zane Dance Company records 	1970-2016	English	171 boxes, 22 tubes, 3 oversized folders; 77.57 linear feet	The New York Public Library. Jerome Robbins Dance Division.	http://archives.nypl.org/dan/24325.xml	The Bill T. Jones/Arnie Zane Company, established in 1982 by dancer/choreographers Bill T. Jones (1952-) and Arnie Zane (1948-1988) has performed worldwide in over 200 cities in 40 countries. The Bill T. Jones/Arnie Zane Dance Company records (1970-2016) document the work of the Company and its creators from its inception to 2016. The collection contains production files, photographs, programs, publicity materials, technical tour files, special project files, general company records, posters, designs, audio recordings, and video recordings.
24669.xml	ArchivalResource	Radford Bascome collection 	circa 1950-1959	English	6 boxes; 2.29 linear feet	The New York Public Library. Jerome Robbins Dance Division.	http://archives.nypl.org/dan/24669.xml	The Radford Bascome collection contains over 8,600 negatives that documents dance from 1954 through 1958 with the majority of the collection representing New York City Ballet. Other companies included are American Ballet Theatre and Ballet Russe de Monte Carlo, as well as performances from Jacob's Pillow Dance Festival. Also included are Bascome's commercial and advertising work as well as some personal photographs. Brief biographies of Bascome's subjects are provided throughout the collection as well as correspondence from dancers whom he photographed.
24898.xml	ArchivalResource	Jack Kerouac typescript drafts for Beat Traveler 	approximately 1960		.17 linear feet (1 custom document box)	The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.	http://archives.nypl.org/brg/24898.xml	Jack Kerouac (1922-1969) was an American Beat novelist, essayist, and poet. Kerouac mentioned plans to write a novel called Beat Traveler as early as 1958, but it was only in January 1960 that he began working on it in earnest. His letter of February 20, 1960 to poet Allen Ginsberg noted that he had made four &quot;false starts on Beat Traveler, about 40,000 words in all, rolled them up and put them away....&quot; A collection of travel writings, some previously published, appeared as Lonesome Traveler later that year. The collection comprises two untitled and undated typescript drafts written by Jack Kerouac, narrating his travel experiences in Europe in 1957, and his trip from Los Angeles, California to Mexico in 1956. These were written, at least in part, for his unfinished novel Beat Traveler, although elements would later appear in Lonesome Traveler and Desolation Angels. The texts are typed single-space on five sheets of paper, rolled together in the form of a scroll. The interior piece (two leaves) recalls the end of his 1957 tour of Europe, and his return home from England as a third-class passenger on the SS Nieuw Amsterdam, departing from Southampton. Each page is a different working of an opening, with a common incident involving the disrespect shown to Kerouac by the ship's dining-room staff because of his appearance. The text is typescript on rectos only; the verso of the first leaf bears Kerouac's pencilled note &quot;BT False Starts,&quot; with &quot;BT Rejects&quot; similarly noted on the recto of the second leaf, numbered 2. The outer piece recounts Kerouac’s trip from Los Angeles to Mexico City via Tucson and Nogales in October 1956, ironically noting the money and fame that his writings would bring him &quot;in the next brief 3 years.&quot; The text is typescript on the rectos of three leaves numbered 1 to 3 by Kerouac; the verso of the second leaf carries his two-line typed reworking of text on the recto.
24078.xml	ArchivalResource	Lou Reed papers 	1958-2015	English	212 boxes, 27 tubes, 4 oversized folders; 91 linear feet; 40,920 computer files; 2.5 terabytes	The New York Public Library. Music Division.	http://archives.nypl.org/mus/24078.xml	Lou Reed was an American musician best known for co-founding the Velvet Underground, and his five-decade long career as a solo artist. Reed's papers date from 1958 to 2015, and chronicle his career through audio and video recordings, office files, photographs, artwork, and press clippings. The collection details Reed's musical output, as well as the administrative and business dealings involved in producing records and touring worldwide.
23930.xml	ArchivalResource	Joseph Campbell papers 	1930s-1980s; 1905-1995	English	203 boxes; 83.65 linear feet	The New York Public Library. Manuscripts and Archives Division.	http://archives.nypl.org/mss/23930.xml	Joseph Campbell was a mythologist, author, lecturer, and professor of literature at Sarah Lawrence College. His papers date from 1905 to 1995, and contain his writing, research, lectures, correspondence, photographs, and press clippings. The collection consists of files pertaining to Campbell's career in academia, and his research and writings on comparative mythology and literature.
24508.xml	ArchivalResource	William Schimmel video recordings 	1995-2013; 1995-2010	English	1 box; 0.21 linear feet	The New York Public Library. Rodgers and Hammerstein Archives of Recorded Sound.	http://archives.nypl.org/rha/24508.xml	William Schimmel (1946 - ) is an American accordionist and composer, credited with the resurgence of the accordion as an instrument in modern music, as well as the revival of tango in the United States. The William Schimmel video recordings, dating from 1995 to 2013, mainly document the annual three-day masterclass and concert series Schimmel curates in New York City, presented by the American Accordionists' Association. The collection also contains bound books containing copies of the masterclass and concert programs, as well as clippings and flyers documenting the events.
24680.xml	ArchivalResource	Biff Liff papers 	1906-2014	English	11 containers, 4 tubes, 1 folder; 6.05 linear feet	The New York Public Library. Billy Rose Theatre Division.	http://archives.nypl.org/the/24680.xml	Samuel &quot;Biff&quot; Liff (1919-2015) was a stage manager and agent. The Biff Liff papers mainly documents his career as a stage manager for productions in New York City and notably the international production of My Fair Lady. The files hold scripts, photographs, and printed matter.
25777.xml	ArchivalResource	William Beekman Collection of Virginia Woolf and Her Circle 	1731-1941	English	153 items	The New York Public Library. Henry W. and Albert A. Berg Collection of English and American Literature.	http://archives.nypl.org/brg/25777.xml	This collection of Virginia Woolf books, correspondence, photographs, and other material was assembled by collector William Beekman over the course of several decades. Many of the books within this collection were originally owned, or gifted, by Virginia Woolf and Leonard Woolf.
25763.xml	ArchivalResource	William P. Gottlieb Photographs 	1938-1948	English	8 boxes; 1.67 linear feet	The New York Public Library. Music Division.	http://archives.nypl.org/mus/25763.xml	William P. Gottlieb was a writer and photographer known for documenting jazz musicians, particularly for Down Beat magazine. The collection consists of black and white photographs taken by Gottlieb of jazz, classical, and pop musicians between 1938 and 1948.
24928.xml	ArchivalResource	Correspondence between Maria Callas and Dorle Soria 	1950-1982	EnglishEnglish	1 box; 0.42 linear feet	The New York Public Library. Music Division.	http://archives.nypl.org/mus/24928.xml	Correspondence between Maria Callas and Dorle Soria consists of the personal and business correspondence of Angel Records co-founder Dorle Soria and soprano Maria Callas, as well as letters written by Dario Soria, John Coveney, Henry Sell, and others regarding Callas's career, especially her affiliation with Angel Records. A small collection of the Sorias' mementos and handwritten memoirs of Callas is included, as is a collection of press materials, mainly photographs of Callas.
25767.xml	ArchivalResource	Sonia Arova collection 	1946-2013	English	2 boxes, 1 oversize folder; 0.84 linear feet	The New York Public Library. Jerome Robbins Dance Division.	http://archives.nypl.org/dan/25767.xml	The Sonia Arova collection, dating from 1946 to 2013, documents her career as a ballerina and artistic director of the San Diego Ballet and the Alabama Ballet. The collection holds printed matter, photographs, correspondence, audio and video media originals.
