id,type,title,display_entry,abstract,link,extent,date
7891461,696,"Correspondence with Henry Charles Lea, 1899.","Philadelphia College Settlement. Correspondence with Henry Charles Lea, 1899.",Comprises 3 items from John Rodman Paul and 2 items from Lea. ,http://www.worldcat.org/oclc/63556455,5 items (5 leaves).,
6830188,696,Franklin Furnace artist file : miscellaneous uncataloged material.,"DAVIS, DOUGLAS. Franklin Furnace artist file : miscellaneous uncataloged material.","",http://www.worldcat.org/oclc/145340861,1 folder,
8167810,696,Mad about the boy.,"Winding, Kai, 1922-1983. Mad about the boy.","",http://www.worldcat.org/oclc/766587876,,
7666977,696,Mutt and Jeff endless file. [1913-1926],"Fisher, Bud, 1885-1954. Mutt and Jeff endless file.","",http://www.worldcat.org/oclc/53314851,1 v. (unpaged) : chiefly ill. ; 25 x 46 cm.,
7636808,696,"Hallie Flanagan Davis papers, 1938-1964.","Flanagan, Hallie, 1890-1969. Hallie Flanagan Davis papers, 1938-1964.","Contains biographical materials, correspondence, photographs, speeches and writings. ",http://www.worldcat.org/oclc/51249172,5 linear in. (1 box),
7517671,696,Artist file.,"Bates, David, 1952-. Artist file.","",http://www.worldcat.org/oclc/431599259,1 folder.,
7146993,696,John B. Wornall family papers and John Wornall house restoration materials.,John B. Wornall family papers and John Wornall house restoration materials.,"Genealogical material, award certificates; and newspaper clippings about the Johnson, Harris, Kearney, and Wornall families. Scrapbook of Mrs. Francis (Mona Belle McDonald) Wornall; photographic scrapbook of early Kansas City (possibly by James Anderson) pamphlets; records of the Ladies Aid of the Westport (or West Fork?) Baptist Church, 1888-1904; bound sheet music; Westport Historical Quarterlies; books; photographs; ephemera. Collection of a variety of general archival materials relating to the diverse history of Jackson County, Missouri. Until item-level records are produced, consult the assistance of the Jackson County Historical Society archivist, and on-site finding aids. ",http://www.worldcat.org/oclc/256026543,,
7925413,696,"Papers of Richard O. Pringle [manuscript], 1860 December 20.","Pringle, Richard O., 1825-. Papers of Richard O. Pringle [manuscript], 1860 December 20.","Former University of Virginia medical student, Richard O. Pringle (1847-1848 session), writes to ""Dear Cousin Franklin,"" a current medical student at the university (1860). He write of the diptheria epidemic, offers advice on how to maintain a respectable position in class, and comments briefly on the ""controversy between the North & South."" ",http://www.worldcat.org/oclc/647911994,1 item: 4 p.,
6485116,696,Robert Pastor Papers. 1977 - 1981. Personal Files,Robert Pastor Papers. 1977 - 1981. Personal Files,,https://catalog.archives.gov/id/590483,,
7060890,696,[Peter Cole : Australian Art and Artists file].,[Peter Cole : Australian Art and Artists file].,"",http://www.worldcat.org/oclc/225510931,,
7582623,696,Life on a New York farm / Mildred Lewis. 1922.,"Lewis, Mildred. Life on a New York farm / Mildred Lewis.","Bound high school term paper by student Mildred Lewis, at the Evander Childs High School in New York, N.Y.  This manuscript contains an outline, and a few photographs and newspaper clippings.  Also includes a related letter of congratulations for winning third prize. ",http://www.worldcat.org/oclc/476292830,"[56] p., bound : ill. ; 28 cm. + 1 letter.",
7667080,696,"John Emmett Berns collection of ""Packer Jack"" Newman photographs, ca. 1898 and 1929 [graphic]. ca. 1898 and 1929.","Berns, John Emmett. John Emmett Berns collection of ""Packer Jack"" Newman photographs, ca. 1898 and 1929 [graphic].","The collection contains images relating to the life of John ""Packer Jack"" Newman, including his experiences in the Klondike gold rush and his work on creating a monument to the pack animals that died on the White Pass trail. ",http://www.worldcat.org/oclc/53328748,26 photographic prints (postcards) : b&w ; various sizes.,
7253870,696,"Papers, 1941-1966.","Cabell, Roy E. Papers, 1941-1966.","Collection contains diaries (1941, 1945, 1947-1965); 4 photograph albums of water reclamation projects in the west; photographs, negatives and glass-plate negatives of Cabell and the west (1956-1965); a manuscript written by Cabell ""Effect of Flaming Gorge Shut-Down on Sediment Discharges Downstream From Flaming Gorge Dam"" (1966); a 16mm film ""Why Do We Still Have Mountains?""; and a map of Utah (1947). ",http://www.worldcat.org/oclc/28154953,3 cubic ft. (3 boxes),
7518068,696,Mapa de la villa de Chillon [Material cartográfico] [Manuel Gómez Astorga]. [Chillon y Maio 28 de 1793],"Gómez Astorga, Manuel. Mapa de la villa de Chillon [Material cartográfico] [Manuel Gómez Astorga].","",http://www.worldcat.org/oclc/431728429,"1 mapa ms. a tinta 20,5 x 31,5 cm.",
6289428,696,"Correspondence of Sir Gilbert Elliot, 1st Earl of Minto, and Robert Dundas, 2nd Viscount Melville 1807-1812","Correspondence of Sir Gilbert Elliot, 1st Earl of Minto, and Robert Dundas, 2nd Viscount Melville, 1807-1812","",http://archiveshub.ac.uk/data/gb206-brothertoncollectionmsmisc.letters1minto,"83 items held in 3 boxes, manuscript.",
7457526,696,"Sanborn Map Company's insurance maps of Boulder, Colorado, 1918. 1918.","Sanborn Map Company. Sanborn Map Company's insurance maps of Boulder, Colorado, 1918.","",http://www.worldcat.org/oclc/427292775,1 v. (22 plates),
6374646,696,George W. Brown diary 1865,"George W. Brown diary, 1865","Manuscript diary, 1 v, June 1-July 27 1865, written by George W. Brown, Assistant Warden, Oregon State Penitentiary.",http://nwda.orbiscascade.org/ark:/80444/xv58374,.02 cubic feet (1 folder),
6464617,696,Records of the Environmental Protection Agency. 1944 - 2006. DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern. 1972 - 1977. TRAFFIC LEADING INTO HOLLAND TUNNEL,Records of the Environmental Protection Agency. 1944 - 2006. DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern. 1972 - 1977. TRAFFIC LEADING INTO HOLLAND TUNNEL,,https://catalog.archives.gov/id/548419,,
7557699,696,[Culinary ephemera : war]. Box 342. 1941-1943.,"Berolzheimer, Ruth. [Culinary ephemera : war]. Box 342.","",http://www.worldcat.org/oclc/457140577,15 items.,
7396330,696,"Papers, 1766-1965.","Stout, Wilbur White, 1898-1965. Papers, 1766-1965.","Personal, academic, and avocational papers of Stout, professor, of English at the University of Southern Mississippi, 1944-1963. Includes materials relating to outdoor theater and native Americans of the southeastern United States. ",http://www.worldcat.org/oclc/37756354,7.0 cu. ft.,
7652741,696,"Our legacy : remembered and renewed, personal history book / 1983.","Blackmore, Ada. Our legacy : remembered and renewed, personal history book / 1983.","104 personal histories contributed by the women in Cardston, Alberta, Third Ward of the Church of Jesus Christ of Latter-day Saints. These were compiled by Ada Blackmore, Clara Matkin, Julie Kerr, Lila Cahoon, under the direction of the Relief Society President, Priscilla Hatch. ",http://www.worldcat.org/oclc/52318835,1 folder.,
6787048,696,"Aggregate of funding, April 1, 1887 - March 17, 1922.","Virginia. Treasurer's Office. Aggregate of funding, April 1, 1887 - March 17, 1922.",Volume records the amount of old debt certificates surrendered for new debt certificates. ,http://www.worldcat.org/oclc/122608681,1 v.,
7339296,696,"Administrative subject files, 1905-1968.","Pullman Company. Medicine and Sanitation Dept. Administrative subject files, 1905-1968.","Incomplete alphabetical (L-Q) administrative files of Pullman Company medical directors, Dr. T.R. Crowder, 1915-1942, and Dr. R.M. Graham, 1942-1967. ",http://www.worldcat.org/oclc/32300439,6 cubic ft. (6 cartons),
7558193,696,"V.G. Kemper letters to his brother, 1857-1885.","Kemper, V. G. V.G. Kemper letters to his brother, 1857-1885.","Ten letters written by Kemper to his brother, Thomas Kemper. ",http://www.worldcat.org/oclc/457277862,10 items (1 folder),
8083335,696,"Freights and store accounts for shipping vessels, 1839-1859.","Denmark (Schooner). Freights and store accounts for shipping vessels, 1839-1859.","Freights and store accounts for schooners Denmark and Wandopasso, bark Ariel, and brig John Balch; all shipping vessels out of Maine. ",http://www.worldcat.org/oclc/714110969,1 v.,
7578066,696,[Bree Dalton : Australian Art and Artists file]. 2008-,[Bree Dalton : Australian Art and Artists file].,"",http://www.worldcat.org/oclc/472600112,1 file (various pieces).,
